Watchlist 'NYSE',,,,
,,,,
NYSE,,,,
Symbol,Last,%Change,Bid,Ask
HT,11.12,0.09%,10.15,11.75
PNR,55.93,0.09%,54.25,56.94
KSM,11.7,0.09%,11.36,12.04
WIW,12.27,0.08%,12.03,12.68
GCP,24.79,0.08%,23.87,31.67
LVS,62.6,0.08%,62.75,63.25
JHS,15.56,0.08%,14.97,16.38
VMM,13.07,0.08%,12.84,13.33
MKL,1088.8,0.07%,1083.83,1092.54
TSE,64.71,0.06%,63,66.9
YY,117.9,0.06%,117.25,118.5
PDD,171.16,0.06%,171.17,171.71
SMG,213.15,0.06%,210,245
CII,18.35,0.05%,18.35,19.24
EIC,15.21,0.05%,15.01,19.75
THQ,20.79,0.05%,20.03,21.96
RNP,23.27,0.04%,22.5,23.6
SXI,98.06,0.04%,42.92,114.24
PVH,99.96,0.04%,87,100
TDE,25.13,0.04%,25.07,25.78
CRY,25.25,0.04%,20.59,33.94
TBB,25.69,0.04%,25.4,27.3
ETN,130.19,0.02%,128.5,133.5
WCC,80.28,0.01%,75,89.35
WLK,85.59,0.01%,69.68,97.26
REX,94.07,0.01%,67.93,100
TDG,576.67,0.00%,500,670
WVE,9.41,0.00%,9.1,9.7
WPF,10.4,0.00%,10.42,10.58
VFL,13,0.00%,12.73,13.52
VCF,14.24,0.00%,13.91,14.75
TPX,33.41,0.00%,31.43,35
TGP,13.51,0.00%,13.2,13.65
TGA,1.45,0.00%,1.4,1.49
SIC,8.71,0.00%,8.49,13.23
RRD,3.4,0.00%,3.34,3.5
RLH,3.46,0.00%,3.41,3.46
RDI,7.32,0.00%,7.22,7.7
RCP,25.22,0.00%,0.0001,25.42
QTT,3.49,0.00%,3.5,3.67
PPX,25.34,0.00%,25.2,25.78
PDO,20.85,0.00%,20,21.35
OCA,10.14,0.00%,10.1,10.14
NLY,8.31,0.00%,8.31,8.33
NBB,22.4,0.00%,22.02,22.78
MYN,13.26,0.00%,13.2,13.71
MFT,14.25,0.00%,13.88,14.88
LX,11.36,0.00%,11.3,11.42
KRP,10.35,0.00%,9.5,11
JTA,10.07,0.00%,9.7,11.14
JHI,17.64,0.00%,17,18.57
IH,18.5,0.00%,18.1,18.5
IGD,5.47,0.00%,5.44,5.47
HIO,4.92,0.00%,4.92,4.97
FFC,22.12,0.00%,21.64,22.99
FAM,10.05,0.00%,9.95,10.44
EXG,8.86,0.00%,8.71,9.13
EVC,3.13,0.00%,3.1,3.2
EQS,1.84,0.00%,1.61,2.04
EOD,5.27,0.00%,5.2,5.41
DNK,2.31,0.00%,2.32,2.38
DHX,3.11,0.00%,2.97,3.5
DEH,10.25,0.00%,10.22,10.35
CNF,3.4,0.00%,3.04,3.58
CMO,5.73,0.00%,5.7,5.77
DVA,102.13,-0.01%,101.32,103.59
HHC,94.87,-0.01%,94.87,108.9
TVE,25.32,-0.02%,0.0001,26.4
IR,46.34,-0.02%,43.3,46.82
OXM,76.24,-0.03%,66,88
GPC,105.35,-0.04%,100,106.72
GGG,69.35,-0.04%,50,72.54
UZA,25.48,-0.04%,25.3,25.68
TSM,125.94,-0.05%,125.72,125.9
KN,20.79,-0.05%,20.4,25.78
CSQ,16.4,-0.06%,15.75,17.01
GFL,31.02,-0.06%,24,31.44
TY,30.86,-0.06%,29.57,32.01
ETV,15.02,-0.07%,14.85,15.4
PML,14.3,-0.07%,14.25,15
JCE,14.3,-0.07%,13.55,14.8
PDT,14.18,-0.07%,14,14.62
EHC,80.44,-0.07%,65,86.65
JIH,13.38,-0.07%,12.92,13.78
UZC,25.15,-0.08%,25.06,25.78
EVV,12.53,-0.08%,12.4,12.87
UZE,24.5,-0.08%,0.0001,24.67
GLO,12.18,-0.08%,12.1,12.77
NX,24.33,-0.08%,24.11,26
DDD,35.84,-0.08%,35.52,35.81
RMT,11.72,-0.09%,11.2,12.17
HEQ,11.72,-0.09%,11.65,12.25
HI,46.46,-0.09%,46,50
PEN,284.43,-0.09%,200,300
PFC,30.66,-0.10%,19.76,33
VII,10.21,-0.10%,10.08,10.6
GFX,10.14,-0.10%,10.05,10.44
EHT,9.84,-0.10%,9.82,9.86
CLX,181.05,-0.10%,180.5,181.49
GAM,37.84,-0.11%,0.0001,4294.67
FTF,9.35,-0.11%,8.99,9.55
KFS,4.54,-0.11%,3.81,5.32
JDD,9.05,-0.11%,8.66,9.5
PPG,134.82,-0.11%,130.66,138
GDO,17.58,-0.11%,17.5,18.42
IFS,34.9,-0.11%,0.0001,40
PCN,17.27,-0.12%,17.2,18.33
THC,51.02,-0.12%,50,51.3
PAE,8.17,-0.12%,8.01,10.15
SPH,14.96,-0.13%,14.85,15.25
NAV,44.06,-0.14%,38.5,44.49
USA,7.32,-0.14%,7.25,7.35
WAB,72.43,-0.14%,72.06,72.48
JTD,14.28,-0.14%,13.95,14.99
PBH,41.71,-0.14%,33.58,44.5
SCU,20.64,-0.15%,20,21.2
GPM,6.83,-0.15%,6.76,7
PGZ,13.46,-0.15%,12.57,14.01
PMO,13.39,-0.15%,13.35,13.68
EMD,13.08,-0.15%,12.98,13.27
MKC,84.28,-0.15%,83.81,86.8
DTY,25.7,-0.16%,25.51,25.75
RZA,26.16,-0.16%,26,26.88
WTS,114.09,-0.17%,97.63,130
TAL,77.54,-0.17%,77,77.54
PTY,17.87,-0.17%,17.76,17.8
SWZ,8.85,-0.17%,0.0001,4294.67
TSI,5.63,-0.18%,5.63,5.71
PDI,27.45,-0.18%,27.23,27.56
ETX,21.96,-0.18%,21.77,23.2
NXR,16.32,-0.18%,16.12,17.34
PTK,10.33,-0.19%,10.04,10.35
SBG,10.14,-0.20%,10.23,10.3
WMG,35.47,-0.20%,34.56,38.75
GLQ,15.19,-0.20%,14.56,15.86
GIX,10.11,-0.20%,10.05,10.14
VBF,19.78,-0.20%,18.92,20.66
DBL,19.66,-0.20%,18.36,20.37
MA,353.85,-0.20%,353.85,355.5
VER,39,-0.20%,37,40
FMC,101.69,-0.21%,99.09,105
SRC,43.02,-0.21%,40.77,46.6
GBL,19,-0.21%,15,25.23
SKX,36.6,-0.22%,36.1,37.5
ETG,18.18,-0.22%,17.89,19.12
EDI,8.85,-0.23%,8.55,8.87
SHC,26.15,-0.23%,24.53,29
RP,86.78,-0.23%,86.43,88.11
TAK,16.71,-0.24%,16.72,16.88
TEX,41.18,-0.24%,34.77,46.5
TDA,24.69,-0.24%,22.64,4294.67
HUM,379.65,-0.25%,373.08,379.68
GUT,8.07,-0.25%,7.95,8.2
CET,35.75,-0.25%,35.46,42.09
ITW,202.18,-0.25%,192.25,207
UVV,50.82,-0.26%,45,53.9
CHE,445.21,-0.26%,433.05,568.64
TUP,30.57,-0.26%,30.03,30.89
NVT,26.26,-0.27%,23.79,28.9
HRI,87.76,-0.27%,65.56,89.73
VAR,175.27,-0.27%,175.01,175.4
SAP,123.35,-0.27%,123.35,123.98
SYX,36.1,-0.28%,36.1,37
CPS,35.82,-0.28%,25,39.12
RVT,17.83,-0.28%,17.26,18.72
TSN,67.67,-0.29%,67.4,67.67
PNM,48.01,-0.29%,30.95,48.01
Y,646.43,-0.29%,640.61,875.47
VMI,236.53,-0.30%,208.57,277.91
NFJ,13.48,-0.30%,13.45,14.07
UK,3.36,-0.30%,3.35,3.39
ESE,105.67,-0.30%,86.21,123.51
COR,121.71,-0.30%,117.51,124.81
TMO,450.08,-0.31%,449.3,454.99
LUV,58.13,-0.31%,58.25,58.35
ENR,41.8,-0.31%,42,42.25
CPE,25.57,-0.31%,25.4,25.42
DDF,9.58,-0.31%,8.85,9.88
JPT,23.91,-0.31%,23.07,25.31
TTC,100.77,-0.32%,80.78,116.47
PXD,148.57,-0.32%,148.14,148.57
FFA,17.8,-0.34%,17.01,18.49
QTS,62.12,-0.34%,59,66.2
GEN,0.7929,-0.34%,0.75,0.78
PFX,30.5,-0.34%,7.01,31.24
GLU,18.61,-0.35%,15.8,21.64
EYE,47.49,-0.36%,44,49.03
NKE,134.78,-0.36%,134.51,134.89
CSL,145.25,-0.36%,140,168
WH,65.28,-0.37%,59.31,69
FFG,57.04,-0.37%,56.2,72.06
EVT,24.23,-0.37%,22.86,25.33
CPB,45.48,-0.37%,45.44,45.7
IX,85.37,-0.37%,9.51,4294.67
CNC,58.54,-0.37%,58.16,58.92
ETJ,10.54,-0.38%,10.38,10.7
FAF,52.54,-0.38%,51.01,56.45
DS,2.61,-0.38%,2.56,2.68
SGH,46.69,-0.38%,35,51.47
WTM,1195.06,-0.39%,857.49,1302
ROP,377.62,-0.39%,355.89,402.41
HBI,17.69,-0.39%,17.58,17.77
PPC,22.39,-0.40%,22.01,22.75
FT,7.32,-0.41%,7.08,7.4
FSS,36.41,-0.41%,28.31,50
JMM,7.2,-0.41%,6.84,7.4
DBX,22.545,-0.42%,22.55,22.69
DCT,47.3,-0.42%,47.5,56.6
SXT,77.85,-0.42%,59.93,81.77
GRU,4.05,-0.42%,3.86,8
RL,117.08,-0.43%,108,130
QH,6.98,-0.43%,6.8,7.2
PCB,13.93,-0.43%,11.95,14.5
CIM,11.54,-0.43%,11.43,11.9
XYL,99.56,-0.44%,92.72,107.06
FTK,2.24,-0.44%,2.03,2.6
NOG,13.28,-0.45%,13.11,13.2
EDU,177.62,-0.45%,171.44,196
TXT,50.34,-0.45%,45,50.78
LKQ,39.39,-0.45%,37.4,39.65
MTA,8.69,-0.46%,8.5,8.89
ROK,243.28,-0.46%,243.28,253
NRO,4.28,-0.47%,4.2,4.33
LYG,2.14,-0.47%,2.1,2.16
CYH,8.56,-0.47%,8.33,8.56
SNA,203.11,-0.47%,185,209.33
TIG,16.92,-0.47%,12.06,17.8
CWT,54.95,-0.47%,50,68.06
HFC,37.88,-0.47%,37.69,38.6
EEA,10.43,-0.48%,10.02,10.89
NJR,39.29,-0.48%,38.49,41
PPD,35.06,-0.48%,32,38.53
LGI,18.51,-0.48%,17.79,19.37
EOI,16.42,-0.48%,16.25,16.9
OMC,68.73,-0.49%,62,69.19
RFL,35.78,-0.50%,26,74
JPI,23.8,-0.50%,22.31,24.65
F,11.7,-0.51%,11.71,11.72
ORN,5.83,-0.51%,5.61,6
OXY,26.61,-0.52%,26.52,26.59
HQL,20.89,-0.52%,20.85,23.03
NAZ,15.17,-0.52%,14.58,15.62
TBI,20.83,-0.53%,13.78,24.18
PS,20.59,-0.53%,20.26,21.49
GGT,9.35,-0.53%,9,9.7
GHG,13.02,-0.53%,12.51,15.1
CVE,7.41,-0.54%,7.38,7.85
PGC,27.51,-0.54%,15.95,4294.67
GIM,5.49,-0.54%,5.35,5.74
III,3.64,-0.55%,3.38,3.7
NTP,9.08,-0.55%,8.79,9.25
VMC,166.99,-0.55%,162.01,189
KSU,212.34,-0.55%,203.5,218.5
GF,19.88,-0.55%,19.01,20.78
MSD,8.97,-0.55%,8.9,9.41
LNC,56.87,-0.56%,55.4,58.25
NEW,7.09,-0.56%,6.87,7.48
HCI,57.87,-0.57%,62,200
YAC,10.5,-0.57%,10.5,10.65
GRA,59.26,-0.57%,57.86,63.99
SCD,12.18,-0.57%,11.59,12.66
NIB,32.93,-0.57%,32.5,34.4
IBA,39.67,-0.58%,30,4294.67
QEP,3.44,-0.58%,3.25,3.44
TLK,23.98,-0.58%,22.39,25.41
FIS,138,-0.58%,132.01,141
MTX,71.23,-0.59%,62.95,78
TTM,21.99,-0.59%,22,22.25
CND,10.07,-0.59%,10,10.1
PRT,5.03,-0.59%,3.98,5.35
OMF,46.91,-0.59%,46,48.86
RXN,44.95,-0.60%,40,46
PJT,69.72,-0.60%,68.02,73.65
IMV,3.32,-0.60%,3.29,3.44
DT,49.76,-0.60%,48.26,50.68
RPD,76.24,-0.60%,62.1,90.61
CHW,9.92,-0.60%,9.81,10.11
CHH,104.87,-0.61%,100,136.4
HRC,106.67,-0.61%,97.25,113.37
KR,32.21,-0.62%,32.16,32.21
OSN,4.82,-0.62%,4.7,4.83
CS,14.45,-0.62%,14.25,14.95
KRG,19.17,-0.62%,19.13,19.5
DEX,9.58,-0.62%,9.45,10.09
LUB,3.19,-0.62%,3.17,3.3
PEP,129.19,-0.62%,129.12,129.49
TRX,0.7005,-0.62%,0.69,0.695
SAM,1028.71,-0.63%,990,1250
RES,6.35,-0.63%,5.8,6.44
HEP,17.23,-0.63%,16.62,17.1
UTG,31.25,-0.64%,31.11,32.25
NBH,15.62,-0.64%,15.01,15.72
V,212.39,-0.64%,212.39,212.74
TPR,42.14,-0.64%,42.14,43.5
CG,34.25,-0.64%,34.28,35.7
GTY,27.98,-0.64%,27.5,28.78
DAL,47.94,-0.64%,48.03,48.1
WRB,69.33,-0.64%,69.25,70.29
RCM,27.64,-0.65%,27.6,27.75
EPC,30.59,-0.65%,29,31.61
UNB,27.52,-0.65%,26.2,40.45
DSX,3.04,-0.65%,2.92,3.1
GDV,22.69,-0.66%,22,23.6
MCS,19.64,-0.66%,18,22
GNK,10.5,-0.66%,10.45,10.59
MEI,38.93,-0.66%,38.96,42
EDD,5.98,-0.66%,5.9,6.29
SGU,9.63,-0.67%,9.55,9.81
PAM,13.33,-0.67%,9.34,15.99
HTY,5.86,-0.68%,5.76,6.05
XEC,57.99,-0.69%,54,57.99
RQI,13.01,-0.69%,13,13.5
WMK,53.45,-0.69%,47,62.29
KW,18.76,-0.69%,12.12,19.91
MED,252.99,-0.69%,235,290
MSA,160.99,-0.69%,130,202.6
WIA,12.88,-0.69%,12.23,13.38
CSX,91.55,-0.69%,88.61,93.08
SVC,12.84,-0.70%,12.32,12.84
CQP,39.75,-0.70%,39,40.74
GPN,197.99,-0.70%,190.58,210
TCX,79.02,-0.70%,38,115.06
TPL,1104.04,-0.70%,800.01,10000
WBA,47.93,-0.70%,47.71,48.05
KOF,42.21,-0.71%,41.8,45.16
SCI,47.76,-0.71%,46.99,50.11
TKR,78.35,-0.71%,78.14,82.1
MCB,51.73,-0.71%,51.73,70.33
CUZ,33.54,-0.71%,28.75,35.94
PHI,26.36,-0.72%,25.25,28
R,67.77,-0.72%,67.57,69.99
JEF,29.04,-0.72%,28,29.6
OFG,19.31,-0.72%,16.95,21
LW,79.77,-0.72%,78.95,81.61
RPM,79.64,-0.72%,74.25,84.5
KFY,61.55,-0.73%,53,72.18
CTK,4.1,-0.73%,4.05,4.18
SPB,77.55,-0.73%,61.8,99.78
RDN,20.4,-0.73%,18.07,23.8
HTA,27.16,-0.73%,26.74,27.21
SSD,97.46,-0.73%,39.77,99
WPP,59.49,-0.73%,48.64,63.25
SEE,41.9,-0.73%,41,42.17
FTV,65.82,-0.74%,64.93,66.23
UI,318.92,-0.74%,303.56,395.87
OPP,14.74,-0.74%,14.74,15.27
IID,5.35,-0.74%,5.05,6.01
UTZ,25.27,-0.75%,24.75,25.27
GNL,18.58,-0.75%,18.6,19.5
IHD,7.95,-0.75%,7.59,8.17
EMF,19.67,-0.76%,18.95,20.1
HP,28.73,-0.76%,26.56,29.09
MIC,31.34,-0.76%,30.61,32.3
OI,11.68,-0.76%,10.91,12.5
CPK,105.73,-0.77%,97.46,128.97
MWA,12.89,-0.77%,12.8,13.5
MDT,116.97,-0.77%,116.98,117.9
JOF,8.99,-0.77%,8.68,9.47
SCX,6.4,-0.78%,6.02,8
NEE,73.48,-0.78%,73.5,74
HPR,10.08,-0.79%,9.8,10.05
ZTS,155.24,-0.79%,155,159.5
CKH,42.51,-0.79%,41.51,42.56
HXL,53.76,-0.79%,53,53.8
HLI,63.56,-0.80%,60,69.4
TEI,7.47,-0.80%,7.46,7.75
OEG,6.2,-0.80%,6.27,6.29
NSC,252.06,-0.80%,250.5,265.12
RFI,14.0362,-0.80%,13.47,14.4
CHD,78.75,-0.81%,78,81.6
UTI,6.13,-0.81%,5.04,6.6
EOS,22.05,-0.81%,21.25,23.38
RPT,10.97,-0.81%,10,11.1
EMN,109.26,-0.82%,106.5,110.74
MPC,54.62,-0.82%,54.41,54.6
IFF,135.51,-0.82%,130,137.42
DOV,123.26,-0.82%,110,124.02
EXC,38.6,-0.82%,38.55,38.6
LC,10.77,-0.83%,10.09,11.25
PH,286.96,-0.84%,244.12,325
UNF,242.29,-0.84%,225.04,304
NMR,5.88,-0.84%,5.81,6.11
RGR,68.2,-0.84%,66.9,70
TG,15.24,-0.85%,14,15.64
HWM,28.11,-0.85%,28,29.2
TBA,11.69,-0.85%,11.32,12.23
WSR,9.35,-0.85%,9,11
REG,54.78,-0.85%,44,55.24
PSO,10.48,-0.85%,6,12
EFL,9.22,-0.86%,8.89,9.72
FEO,14.775,-0.86%,14.78,15.73
LSI,83.9,-0.86%,64.05,84.04
CIR,35.61,-0.86%,31.5,39.41
GBX,47.05,-0.86%,46.95,49.2
MCO,274.89,-0.87%,274,277.52
LII,279.77,-0.87%,275,374.41
SYF,38.68,-0.87%,37.81,38.91
EQH,29.57,-0.87%,28.5,29.59
ZBH,163.06,-0.88%,140,191.17
URG,1.13,-0.88%,1.1,1.12
FNF,38.28,-0.88%,38.02,38.75
CGO,15.74,-0.88%,15.51,16.36
FVT,10.07,-0.89%,10.05,10.5
TGT,183.44,-0.89%,183.3,183.4
JSM,23.45,-0.89%,21.27,30.69
TM,147.93,-0.89%,147,154
GP,24.38,-0.89%,23.5,24.38
PWR,83.85,-0.90%,82.4,86.42
UE,16.5,-0.90%,8.17,20
RLI,104.34,-0.90%,84.72,121.06
WTI,3.29,-0.90%,3.27,3.32
ETO,25.15,-0.91%,24.2,26.61
HAL,21.83,-0.91%,21.74,21.85
TRC,16.32,-0.91%,16.25,18.94
RJA,7.07,-0.91%,7.05,7.34
CMI,253.2,-0.91%,243.1,280.25
MOH,216.76,-0.91%,140.26,249.58
NVS,85.91,-0.92%,85.61,86.74
NRP,17.6348,-0.93%,16.89,18.51
PSB,144.86,-0.93%,99.06,191.15
RBA,54.32,-0.93%,48,55.5
NPA,13.84,-0.93%,14.25,14.39
CSV,32.96,-0.93%,32.4,39
UFS,37.05,-0.94%,18.5,37.25
EA,133.97,-0.94%,132.11,134.09
NYC,9.85,-0.96%,9.5,10.09
PB,73.47,-0.96%,51,84.8
SYY,79.63,-0.96%,78.81,80.1
MPW,21.59,-0.96%,21.58,22.22
ZTO,33.74,-0.97%,33.5,34.5
FR,42.71,-0.97%,41,43.5
NWG,5.08,-0.97%,4.9,5.5
EV,73.07,-0.98%,73,73.4
PFE,33.49,-0.98%,33.47,33.48
TEN,11.14,-0.98%,10.56,12.5
JRS,9.11,-0.98%,9.05,9.5
DFS,94.07,-0.98%,90.2,96
IEX,195.17,-0.98%,3,200
IRR,3.01,-0.99%,2.98,3.14
IRT,14.04,-0.99%,13.95,20
VS,10,-0.99%,8,12
EFX,161.88,-0.99%,160,178
GPK,15.87,-1.00%,15.8,16.25
GFF,24.6,-1.01%,23.25,27
WLL,34.3,-1.01%,33.65,34.73
RGT,13.7,-1.01%,13.2,14.64
DIS,189.04,-1.02%,190.03,190.29
ENZ,2.92,-1.02%,2.85,3.01
OPY,37.9,-1.02%,19.44,50.43
VVV,24.96,-1.03%,23.37,25.5
EW,83.1,-1.04%,82.61,84.37
NNN,43.84,-1.04%,43.01,46.5
MSM,86.13,-1.05%,84,90.6
RDY,59.97,-1.06%,59,60.19
SJW,62.68,-1.06%,58.8,80.22
HPX,10.25,-1.06%,10.2,10.99
JJN,73.9332,-1.07%,73,100
MGY,12.06,-1.07%,12,13.5
CEE,24.09,-1.07%,23,25.37
USM,29.43,-1.08%,29.05,30.23
MTL,1.83,-1.08%,1.8,1.97
TFX,398.12,-1.08%,375,536.59
FIX,61.94,-1.09%,56,75.47
XOG,33.65,-1.09%,33,38
PKX,61.1,-1.10%,51,67.97
KDP,30.52,-1.10%,28.3,30.65
FE,33.14,-1.10%,33.01,33.3
LIN,244.27,-1.11%,244.18,246
ETM,4.47,-1.11%,4.48,4.57
GPS,24.95,-1.11%,24.41,25.7
TRU,84.21,-1.12%,80,90.17
YUM,103.53,-1.12%,102.76,105.49
ETW,9.72,-1.12%,9.65,9.77
JMP,5.29,-1.12%,5.29,5.72
DOX,75.81,-1.12%,75.1,78.95
YVR,1.76,-1.12%,1.75,1.81
RVI,16.7,-1.12%,15.03,18.26
RMD,192.78,-1.13%,190,204.2
MTZ,86.75,-1.13%,80.86,101.18
PMD,7,-1.13%,5.7,8
MET,57.6,-1.13%,57.03,57.75
OGE,29.27,-1.15%,29.25,32.8
FHN,16.2,-1.16%,15.89,16.35
PKG,132.02,-1.16%,129.4,140
UBA,16.12,-1.16%,15.22,17.12
PRO,47.4,-1.17%,6.88,62.86
VFC,79.13,-1.17%,74.7,79.67
OZK,41.22,-1.17%,27.72,41.27
EBS,96,-1.18%,96.5,98.89
SNE,105.81,-1.19%,106.08,106.44
EIG,33.29,-1.19%,31.66,34.5
TME,25.72,-1.19%,25.86,25.88
CNO,24.06,-1.19%,18.11,24.06
HON,202.35,-1.19%,200.58,203
IFN,20.62,-1.20%,20.49,21.44
PCH,50.75,-1.21%,46.52,52.29
LTC,40.91,-1.21%,40.55,42.32
CNI,109.32,-1.21%,108.5,124.2
ICL,5.7,-1.21%,5.59,6.13
OLN,30.94,-1.21%,30.31,30.94
NGD,1.62,-1.22%,1.6,1.63
VPG,32.32,-1.22%,27.72,38.38
SDH,4.03,-1.23%,3.72,4.09
ECL,209.36,-1.23%,190.57,226
CHT,39.41,-1.23%,36.5,48.34
JO,39.39,-1.23%,37.6,40.95
WM,110.89,-1.23%,110.72,111.99
KRO,14.45,-1.23%,14,14.75
TU,20.04,-1.23%,20.01,20.2
WBS,55.31,-1.23%,16.4,68.09
FUL,56.07,-1.23%,55.05,61.61
MHH,16,-1.23%,15.47,18
CPZ,18.31,-1.24%,7.87,18.87
CPT,104.15,-1.24%,102,111.87
IHC,38.01,-1.25%,28.63,49.31
SYK,242.69,-1.26%,238.74,250.7
LBC,10.21,-1.26%,10.25,13.91
KZR,5.48,-1.26%,4.89,5.48
LYB,103.09,-1.26%,101.76,106.48
SPR,42.83,-1.27%,42.6,43
CHK,44.18,-1.27%,42.1,45.6
WU,23.22,-1.28%,23.12,23.36
TLC,5.34,-1.29%,5.33,6.4
EL,285.86,-1.30%,284.56,297.55
UNP,205.96,-1.30%,205.01,210.95
HSY,145.65,-1.30%,145.37,150.5
JEQ,9.06,-1.31%,8.93,9.38
FGF,4.52,-1.31%,3.75,6
MNR,17.32,-1.31%,13.87,18.25
TWN,28.52,-1.31%,24.01,30.23
TW,72.79,-1.32%,72.08,81.36
LNG,67.39,-1.32%,66.5,67.38
TDS,17.89,-1.32%,17.8,18.5
LSF,39.47,-1.33%,39.5,46
ELS,61.65,-1.33%,61.07,69.71
PGR,85.95,-1.33%,85.87,86.28
WCN,97.69,-1.33%,97,102
WSO,243.1,-1.34%,117.59,254
ES,79.48,-1.34%,75.75,79.5
THG,115.35,-1.34%,89.49,122.05
NHI,68.27,-1.34%,68.25,73.57
MAR,148.07,-1.35%,147.7,148.75
MPX,16.81,-1.35%,13.14,18.21
PRU,86.72,-1.35%,85.86,87.99
CFX,44.35,-1.36%,37.75,51.65
SDC,11.6,-1.36%,11.62,11.65
PFS,20.23,-1.37%,16.51,20.2
HUN,27.3,-1.37%,26.77,29
NHC,69.55,-1.38%,63.1,85.7
TMQ,2.15,-1.38%,2.12,2.48
CGC,32.75,-1.39%,32.99,33
WEC,80.64,-1.39%,80.1,82.04
DSS,3.53,-1.40%,3.52,3.53
ETR,86.81,-1.40%,85.31,88.4
MCY,58.4,-1.40%,57,76.48
CIG,2.11,-1.40%,2.1,2.21
WRK,43.59,-1.40%,43,45
SAN,3.51,-1.40%,3.45,3.5
JWN,36.45,-1.41%,36.38,36.5
HWC,37.75,-1.41%,15.46,37.75
SCL,120.69,-1.41%,0.1,123.97
PSN,35.74,-1.43%,33.28,37.61
EEX,5.47,-1.44%,5,5.69
STL,21.83,-1.44%,12.93,25.48
SFT,8.85,-1.45%,8.95,9.01
PHG,54.4,-1.45%,54,55.96
GIB,74.63,-1.45%,74.35,82
OUT,20.28,-1.46%,18.18,20.28
GGN,3.37,-1.46%,3.36,3.37
NYT,51.17,-1.46%,51.03,52.1
TDF,24.87,-1.47%,23.55,25.66
RGP,12.76,-1.47%,11.1,14.4
MDU,28.1,-1.47%,27.99,30
OPI,25.29,-1.48%,23.85,27
JP,2.66,-1.48%,2.6,2.75
STC,47.2,-1.48%,44.4,51.81
HQY,82.35,-1.48%,74,93
GIS,55.01,-1.49%,55,55.1
MGU,20.53,-1.49%,19.85,22.26
CNK,22.45,-1.49%,22.55,22.93
RSG,89.09,-1.49%,88.63,92.4
PZN,9.22,-1.50%,6.14,9.74
VLO,76.98,-1.50%,76.7,76.98
NVO,71.25,-1.51%,71.01,73.1
IP,49.65,-1.51%,49.5,50.27
ICE,110.31,-1.51%,109.77,111.04
FMS,34.5,-1.51%,34.39,36.88
JHG,29.23,-1.52%,26.16,31.98
GH,147.18,-1.52%,146,154.9
FI,4.53,-1.52%,3.12,4.65
DNP,10.35,-1.52%,10.25,10.59
FEI,6.46,-1.52%,6.4,6.89
CM,92.17,-1.53%,76,104
COO,386.13,-1.53%,320.16,437.15
IHG,70.09,-1.53%,65,80
WMT,129.92,-1.54%,130.01,130.08
MEC,14.01,-1.55%,2.39,23.03
PEO,14,-1.55%,12.83,14.56
SUP,5.71,-1.55%,5.5,6.28
MYE,22.14,-1.56%,21.86,29.66
MBT,8.22,-1.56%,8.21,8.4
KIM,18.33,-1.56%,18.23,18.75
ZI,52.42,-1.56%,51,52.42
KTB,42.25,-1.56%,38,46
WAT,273.88,-1.56%,150,285
POR,42.16,-1.56%,41.75,44.1
DEN,42.75,-1.57%,40.8,44.5
ERJ,8.8,-1.57%,8.53,8.9
SJI,25.11,-1.57%,25.09,25.25
CNP,19.44,-1.57%,18.97,20.35
CNA,42.54,-1.57%,41.9,45.08
DCP,21.86,-1.58%,21.35,22.33
ORI,19.33,-1.58%,19.31,19.86
HBT,16.14,-1.59%,12,25.41
KEX,62.56,-1.59%,46.08,62.55
WY,33.87,-1.60%,33.86,34.29
VNT,31.4,-1.60%,30,31.6
ITI,5.51,-1.61%,5.5,6
NCR,34.76,-1.61%,32.4,36.91
OGI,3.03,-1.62%,3.02,3.03
RCS,7.26,-1.63%,7.06,7.9
EMR,85.9,-1.64%,84.01,87.64
EBF,19.82,-1.64%,19.27,21
NWN,47.99,-1.64%,47.99,51
GD,163.47,-1.64%,162.51,165.24
PRI,141.23,-1.64%,135,149.99
FPH,6.56,-1.65%,5.79,7
HIG,50.69,-1.65%,50.35,51.02
PTR,35.76,-1.65%,35.01,37.2
SPG,112.92,-1.65%,112.92,113.58
HEI,125.78,-1.66%,115.15,140
VRA,9.49,-1.66%,7.41,9.99
MCD,206.14,-1.68%,206.14,206.2
CW,110.49,-1.68%,104.11,122
CYD,15.74,-1.69%,15.68,15.7
FBP,10.49,-1.69%,9.02,12
KNL,16.31,-1.69%,13.8,18
TRV,145.5,-1.69%,144.45,145.5
COW,36.65,-1.70%,33.25,41
NWL,23.17,-1.70%,23.25,23.9
RIG,3.47,-1.70%,3.48,3.5
OFC,26,-1.70%,24.81,27.48
NS,17.9,-1.70%,17.5,18.76
KMB,128.33,-1.71%,128.3,128.5
HCA,172.03,-1.71%,170.11,184.17
NMM,17.2,-1.71%,16.3,18
RYN,32.64,-1.72%,32,35.53
HRL,46.37,-1.72%,46.27,46.34
SZC,40.06,-1.72%,38.56,42.5
CFG,43.44,-1.72%,43.05,45
OHI,37.14,-1.72%,37.08,38.25
CRK,5.71,-1.72%,5.6,5.73
GWB,26.83,-1.72%,21.79,30.8
GE,12.54,-1.72%,12.52,12.53
CMS,54.11,-1.73%,52.5,55.02
CVS,68.13,-1.73%,68.05,68.1
REV,11.33,-1.73%,10.91,11.48
TDW,12.46,-1.74%,10.5,14.85
STZ,214.14,-1.74%,210.98,218
